id,question,answers
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Effective Date","Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective ",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Expiration Date","Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?",This Agreement will terminate upon the earlier of: (i) the conclusion of the Standstill Period or (ii) delivery of written notice by one Party to the other Party of a material breach of this Agreement by the breaching Party that is uncured after ten (10) calendar days of notice of such breach.
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Renewal Term","Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Notice Period To Terminate Renewal","Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Governing Law","Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?","THIS AGREEMENT WILL BE GOVERNED IN ALL RESPECTS, INCLUDING VALIDITY, INTERPRETATION AND EFFECT, BY THE LAWS OF THE STATE OF DELAWARE WITHOUT GIVING EFFECT TO THE CHOICE OF LAW PRINCIPLES OF SUCH STATE."
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Most Favored Nation","Highlight the parts (if any) of this contract related to ""Most Favored Nation"" that should be reviewed by a lawyer. Details: Is there a clause that if a third party gets better terms on the licensing or sale of technology/goods/services described in the contract, the buyer of such technology/goods/services under the contract shall be entitled to those better terms?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Non-Compete","Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Exclusivity","Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__No-Solicit Of Customers","Highlight the parts (if any) of this contract related to ""No-Solicit Of Customers"" that should be reviewed by a lawyer. Details: Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Competitive Restriction Exception","Highlight the parts (if any) of this contract related to ""Competitive Restriction Exception"" that should be reviewed by a lawyer. Details: This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__No-Solicit Of Employees","Highlight the parts (if any) of this contract related to ""No-Solicit Of Employees"" that should be reviewed by a lawyer. Details: Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Non-Disparagement","Highlight the parts (if any) of this contract related to ""Non-Disparagement"" that should be reviewed by a lawyer. Details: Is there a requirement on a party not to disparage the counterparty?","Subject to applicable law, each of the Parties covenants and agrees that, during the Standstill Period, neither Party nor any of its subsidiaries, Affiliates, successors, assigns, principals, partners, members, general partners, officers, key employees or directors (collectively, ""Representatives""), shall in any way, directly or indirectly, in any capacity or manner, whether written or oral, electronically or otherwise (including, without limitation, in a television, radio, internet, newspaper, magazine interview, or otherwise through the press, media, analysts or other persons or in any document or report filed with the SEC), publicly disparage, impugn, make ad hominem attacks on or otherwise defame or slander or make, express, transmit, speak, write, verbalize or otherwise publicly communicate in any way (or cause, further, assist, solicit, encourage, support or participate in any of the foregoing), any public communication or statement of any kind, whether verbal, in writing, electronically transferred or otherwise, that might reasonably be construed to be disparage, derogate or impugn, the other Party or such other Party's Representatives (including any current officer or director of a Party or a Parties' subsidiaries who no longer serves in such capacity following the execution of this Agreement), employees, stockholders (solely in their capacity as stockholders of the applicable Party), or any of their businesses, products or services, in any manner that would reasonably be expected to damage the business, or reputation of the other Party or of its Representatives (including former officers and directors), directors (or former directors), employees, stockholders (solely in their capacity as stockholders of the applicable Party); provided that, with respect to any litigation, arbitration or other proceeding between the Parties, nothing in this Section 5 shall prevent either Party from disclosing any facts or circumstances with respect to any such litigation, arbitration or other proceeding."
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Termination For Convenience","Highlight the parts (if any) of this contract related to ""Termination For Convenience"" that should be reviewed by a lawyer. Details: Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Rofr/Rofo/Rofn","Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Change Of Control","Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Anti-Assignment","Highlight the parts (if any) of this contract related to ""Anti-Assignment"" that should be reviewed by a lawyer. Details: Is consent or notice required of a party if the contract is assigned to a third party?","No Party may assign its rights or delegate its obligations under this Agreement, whether by operation of law or otherwise, without the prior written consent of the other Party, and any assignment in contravention hereof will be null and void."
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Revenue/Profit Sharing","Highlight the parts (if any) of this contract related to ""Revenue/Profit Sharing"" that should be reviewed by a lawyer. Details: Is one party required to share revenue or profit with the counterparty for any technology, goods, or services?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Price Restrictions","Highlight the parts (if any) of this contract related to ""Price Restrictions"" that should be reviewed by a lawyer. Details: Is there a restriction on the  ability of a party to raise or reduce prices of technology, goods, or  services provided?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Minimum Commitment","Highlight the parts (if any) of this contract related to ""Minimum Commitment"" that should be reviewed by a lawyer. Details: Is there a minimum order size or minimum amount or units per-time period that one party must buy from the counterparty under the contract?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Volume Restriction","Highlight the parts (if any) of this contract related to ""Volume Restriction"" that should be reviewed by a lawyer. Details: Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Ip Ownership Assignment","Highlight the parts (if any) of this contract related to ""Ip Ownership Assignment"" that should be reviewed by a lawyer. Details: Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Joint Ip Ownership","Highlight the parts (if any) of this contract related to ""Joint Ip Ownership"" that should be reviewed by a lawyer. Details: Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__License Grant","Highlight the parts (if any) of this contract related to ""License Grant"" that should be reviewed by a lawyer. Details: Does the contract contain a license granted by one party to its counterparty?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Non-Transferable License","Highlight the parts (if any) of this contract related to ""Non-Transferable License"" that should be reviewed by a lawyer. Details: Does the contract limit the ability of a party to transfer the license being granted to a third party?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Affiliate License-Licensor","Highlight the parts (if any) of this contract related to ""Affiliate License-Licensor"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Affiliate License-Licensee","Highlight the parts (if any) of this contract related to ""Affiliate License-Licensee"" that should be reviewed by a lawyer. Details: Does the contract contain a license grant to a licensee (incl. sublicensor) and the affiliates of such licensee/sublicensor?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Unlimited/All-You-Can-Eat-License","Highlight the parts (if any) of this contract related to ""Unlimited/All-You-Can-Eat-License"" that should be reviewed by a lawyer. Details: Is there a clause granting one party an “enterprise,” “all you can eat” or unlimited usage license?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Irrevocable Or Perpetual License","Highlight the parts (if any) of this contract related to ""Irrevocable Or Perpetual License"" that should be reviewed by a lawyer. Details: Does the contract contain a  license grant that is irrevocable or perpetual?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Source Code Escrow","Highlight the parts (if any) of this contract related to ""Source Code Escrow"" that should be reviewed by a lawyer. Details: Is one party required to deposit its source code into escrow with a third party, which can be released to the counterparty upon the occurrence of certain events (bankruptcy,  insolvency, etc.)?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Post-Termination Services","Highlight the parts (if any) of this contract related to ""Post-Termination Services"" that should be reviewed by a lawyer. Details: Is a party subject to obligations after the termination or expiration of a contract, including any post-termination transition, payment, transfer of IP, wind-down, last-buy, or similar commitments?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Audit Rights","Highlight the parts (if any) of this contract related to ""Audit Rights"" that should be reviewed by a lawyer. Details: Does a party have the right to  audit the books, records, or physical locations of the counterparty to ensure compliance with the contract?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Uncapped Liability","Highlight the parts (if any) of this contract related to ""Uncapped Liability"" that should be reviewed by a lawyer. Details: Is a party’s liability uncapped upon the breach of its obligation in the contract? This also includes uncap liability for a particular type of breach such as IP infringement or breach of confidentiality obligation.",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Cap On Liability","Highlight the parts (if any) of this contract related to ""Cap On Liability"" that should be reviewed by a lawyer. Details: Does the contract include a cap on liability upon the breach of a party’s obligation? This includes time limitation for the counterparty to bring claims or maximum amount for recovery.",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Liquidated Damages","Highlight the parts (if any) of this contract related to ""Liquidated Damages"" that should be reviewed by a lawyer. Details: Does the contract contain a clause that would award either party liquidated damages for breach or a fee upon the termination of a contract (termination fee)?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Warranty Duration","Highlight the parts (if any) of this contract related to ""Warranty Duration"" that should be reviewed by a lawyer. Details: What is the duration of any  warranty against defects or errors in technology, products, or services  provided under the contract?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Insurance","Highlight the parts (if any) of this contract related to ""Insurance"" that should be reviewed by a lawyer. Details: Is there a requirement for insurance that must be maintained by one party for the benefit of the counterparty?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Covenant Not To Sue","Highlight the parts (if any) of this contract related to ""Covenant Not To Sue"" that should be reviewed by a lawyer. Details: Is a party restricted from contesting the validity of the counterparty’s ownership of intellectual property or otherwise bringing a claim against the counterparty for matters unrelated to the contract?",
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT__Third Party Beneficiary","Highlight the parts (if any) of this contract related to ""Third Party Beneficiary"" that should be reviewed by a lawyer. Details: Is there a non-contracting party who is a beneficiary to some or all of the clauses in the contract and therefore can enforce its rights against a contracting party?",
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Document Name,"Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",SECOND AMENDED AND RESTATED EXCLUSIVE AGENCY AND MARKETING AGREEMENT
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Parties,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract","The Scotts Company LLC, Monsanto Company, Monsanto, The Scotts Company, the ""Agent"""
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Agreement Date,"Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","August 31, 2017"
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Effective Date,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective ","September 30, 1998"
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Expiration Date,"Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?",This Agreement shall commence as of the Effective Date and shall continue unless and until terminated as provided herein.
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Renewal Term,"Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.",
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Notice Period To Terminate Renewal,"Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?",
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Governing Law,"Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?","The validity, interpretation and performance of this Agreement and any dispute connected with this Agreement will be governed by and determined in accordance with the statutory, regulatory and decisional law of the State of Delaware (exclusive of such state's choice of laws or conflicts of laws rules) and, to the extent applicable, the federal statutory, regulatory and decisional law of the United States."
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Most Favored Nation,"Highlight the parts (if any) of this contract related to ""Most Favored Nation"" that should be reviewed by a lawyer. Details: Is there a clause that if a third party gets better terms on the licensing or sale of technology/goods/services described in the contract, the buyer of such technology/goods/services under the contract shall be entitled to those better terms?",
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Non-Compete,"Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ","The Agent covenants and agrees that during the Noncompetition Period, the Agent will not, nor will it permit any Affiliate to, directly or indirectly, own, manage, operate or control, or participate in the ownership, management, operation or control of, or be connected with or have any interest in, as a shareholder, partner, creditor or otherwise, any Competitive Business; provided, however, this Section 6.13(c) shall not apply to those actions of the Agent or any Affiliate (i) to the extent such actions are expressly contemplated by this Agreement, for such term of this Agreement; (ii) to the extent such actions relate to the products listed on Exhibit D hereto in the countries listed therein, the products that the Agent either owns, has contracted to purchase or entered into a letter of intent with respect to as of the Effective Date and such additional products as the parties may from time to time agree (the ""Permitted Products""); (iii) to the extent that the Agent's interest in a Competitive Business, as a shareholder, partner, creditor or otherwise, is equal to or less than 5%; or (iv) to any separate agreement with Monsanto with respect to transgenic technology sharing., distributes any non-selective weed control product, whether residual or non-residual, for Lawn and Garden Use or (y) competes with the Roundup L&G Business; provided, however, this Section 6.13(b) shall not apply to those actions of Monsanto or any Affiliate (i) to the extent such actions are expressly contemplated by this Agreement, for the duration of this Agreement, (ii) to the extent that immediately upon termination of this Agreement for whatever reason Monsanto or any Affiliates or successor to the Roundup L&G Business shall continue to operate the Roundup L&G Business without infringing this covenant, or (iii) to the extent that Monsanto's interest in a Competitive Business, as a shareholder, partner, creditor or otherwise, is equal to or less than 5%., A Competitive Business shall be any business which, anywhere within the Included Markets, (x) manufactures, sells, markets or, Except as provided for in Section 3.8, Monsanto covenants and agrees that for the Noncompetition Period, Monsanto will not, nor will it permit any Affiliate to, directly or indirectly, own, manage, operate or control, or participate in the ownership, management, operation or control of, or be connected with or have any interest in, as a shareholder, partner, creditor or otherwise, any ""Competitive Business."", In the event of a termination of this Agreement by Monsanto pursuant to Section 10.4(a)(2) hereof, or by the Agent pursuant to Section 10.6(c)(1) hereof, then notwithstanding the provisions of Section 6.13 hereof, either party may, no earlier than three (3) years prior to the expiration of the Noncompetition Period, commence non- commercial activities (including formulation development, regulatory registrations, packaging and delivery systems development, and advertising and promotional material development and any other activities not prohibited by Section 6.13 of this Agreement during the Noncompetition Period, but excluding consumer-facing efforts or communications) for the sole purpose of such party's preparation to launch any competing product upon expiration of the Noncompetition Period; and provided, that either party may, no earlier than twelve (12) months prior to the expiration of the Noncompetition Period, engage with retail customers for the sole purpose of selling-in competing products (provided that no product may be shipped to a retail customer or distributor prior to the end of the Noncompetition Period)."
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Exclusivity,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","During the Exclusive Roundup Sale Period, neither Monsanto nor any of its Affiliates shall, directly or indirectly through its or their agents, employees or representatives or otherwise, solicit, or cause the solicitation of, or in any way encourage the making of, any offer, proposal or indication of interest involving a Roundup Sale or negotiate with, respond to any inquiry from (except for ""no comment"" or another statement agreed to by the Agent), cooperate with or furnish or cause or authorize to be furnished any information to, any third party or its agents, employees or representatives with respect thereto, or disclose to any third party that a Roundup Sale Notice has been provided to the Agent., Subject to the terms and conditions hereof, Monsanto hereby appoints and agrees to use the Agent, and the Agent hereby agrees to serve, as Monsanto's exclusive agent in the Lawn and Garden Market, commencing on the Effective Date, to provide certain services in connection with Monsanto's marketing, sales, and distribution of Roundup Products to Customers."
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __No-Solicit Of Customers,"Highlight the parts (if any) of this contract related to ""No-Solicit Of Customers"" that should be reviewed by a lawyer. Details: Is a party restricted from contracting or soliciting customers or partners of the counterparty, whether during the contract or after the contract ends (or both)?",
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Competitive Restriction Exception,"Highlight the parts (if any) of this contract related to ""Competitive Restriction Exception"" that should be reviewed by a lawyer. Details: This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.","The Agent covenants and agrees that during the Noncompetition Period, the Agent will not, nor will it permit any Affiliate to, directly or indirectly, own, manage, operate or control, or participate in the ownership, management, operation or control of, or be connected with or have any interest in, as a shareholder, partner, creditor or otherwise, any Competitive Business; provided, however, this Section 6.13(c) shall not apply to those actions of the Agent or any Affiliate (i) to the extent such actions are expressly contemplated by this Agreement, for such term of this Agreement; (ii) to the extent such actions relate to the products listed on Exhibit D hereto in the countries listed therein, the products that the Agent either owns, has contracted to purchase or entered into a letter of intent with respect to as of the Effective Date and such additional products as the parties may from time to time agree (the ""Permitted Products""); (iii) to the extent that the Agent's interest in a Competitive Business, as a shareholder, partner, creditor or otherwise, is equal to or less than 5%; or (iv) to any separate agreement with Monsanto with respect to transgenic technology sharing., Notwithstanding the foregoing provisions of this Section 6.13(c), the Agent shall have the right to market and make sales of Roundup Products labeled for Lawn and Garden Use to any business that markets and makes sales to Lawn and Garden Channels in Mexico regardless of whether that business also makes sales to the Ag Market in Mexico, and such sales shall not constitute a violation of Section 6.13(c) of this Section 6.13(c)., Except as provided for in Section 3.8, Monsanto covenants and agrees that for the Noncompetition Period, Monsanto will not, nor will it permit any Affiliate to, directly or indirectly, own, manage, operate or control, or participate in the ownership, management, operation or control of, or be connected with or have any interest in, as a shareholder, partner, creditor or otherwise, any ""Competitive Business."""
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __No-Solicit Of Employees,"Highlight the parts (if any) of this contract related to ""No-Solicit Of Employees"" that should be reviewed by a lawyer. Details: Is there a restriction on a party’s soliciting or hiring employees and/or contractors from the  counterparty, whether during the contract or after the contract ends (or both)?","The Agent agrees that for the duration of the Noncompetition Period, without the prior written consent of Monsanto, it will not, nor will it permit any of its Affiliates to (i) solicit for employment any person then employed who works primarily with Roundup Products or with other products with Lawn & Garden Uses (""Lawn & Garden Employee"") by Monsanto or any of its Affiliates or (ii) knowingly employ any Lawn & Garden Employee of Monsanto or any of its Affiliates who voluntarily terminates such employment with Monsanto (or such Affiliate) after the Effective Date, until three months have passed following termination of such employment., Monsanto agrees that for the duration of the Noncompetition Period and for the two years thereafter, without the prior written consent of the Agent, it will not, nor will it permit any of its Affiliates to (i) solicit for employment any person, then employed by the Agent or any of its Affiliates or (ii) knowingly employ any employee of the Agent or any of its Affiliates who voluntarily terminates such employment with the Agent (or such Affiliate) after the Effective Date, until three months have passed following termination of such employment."
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Non-Disparagement,"Highlight the parts (if any) of this contract related to ""Non-Disparagement"" that should be reviewed by a lawyer. Details: Is there a requirement on a party not to disparage the counterparty?","The Agent shall not use or facilitate the use of promotional materials which disparage Roundup Products or Industrial Property., The parties will ensure that marketing, promotional and selling plans promote the sale of the Natural Products in a manner that is consistent with this Agreement and complementary to Roundup Products, and does not directly or indirectly disparage or advertise against Roundup Products, as set forth in this Agreement."
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Termination For Convenience,"Highlight the parts (if any) of this contract related to ""Termination For Convenience"" that should be reviewed by a lawyer. Details: Can a party terminate this  contract without cause (solely by giving a notice and allowing a waiting  period to expire)?",
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Rofr/Rofo/Rofn,"Highlight the parts (if any) of this contract related to ""Rofr/Rofo/Rofn"" that should be reviewed by a lawyer. Details: Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?","In the event that Monsanto engages in a process in which it seeks bids or proposals from more than one third party in connection with a contemplated Roundup Sale, the Agent shall be entitled to a fifteen (15) day exclusive negotiation period following the receipt and review by Monsanto of all bids or proposals (the ""Roundup Quiet Period""), provided that, in determining the value of the price terms of the Agent's bid, Monsanto shall not discount the Agent's bid as a result of the fact that the Termination Fee is an offset or credit against the total purchase price, and that, during the Roundup Quiet Period, the Agent shall have the right to revise its original bid but shall not have the right to review the terms of any other bids or proposals., Monsanto may consummate a Roundup Sale with any third party only if such Roundup Sale is made pursuant to the acceptance by Monsanto of a Roundup Superior Offer., within ninety (90) days of receipt of the Product Offer to accept the New Product, then such New Product shall be, without further action or amendment, included within the definition of Roundup Products and be subject to the terms and conditions of this Agreement., If the Agent agrees in writing, During the term of this Agreement, Monsanto covenants and agrees to first offer (the ""Product Offer"") to the Agent, with respect to the Included Markets, the exclusive agency and distribution rights to any newly created non-selective herbicide product, which is not marketed for Lawn and Garden Use as of the date of this Agreement, and which Monsanto, in its exclusive, reasonable discretion, determines to be suitable for sale as a new product for Lawn and Garden Use (the ""New Product""); provided, however, that for the Lawn and Garden Market, that any new product containing Glyphosate or another non- selective herbicide shall be considered to be a New Product., For a period of sixty (60) days from the last date of receipt by the Agent of the Roundup Sale Notice and any related Roundup Offering Materials as set forth in Section 10.6(a)(ii) (the ""Exclusive Roundup Sale Period""), Monsanto agrees to negotiate in good faith with the Agent on an exclusive basis with respect to any potential Roundup Sale., If the Agent fails to agree in writing to accept the Product Offer within such ninety (90) days of receipt, then Monsanto shall have the exclusive right to manufacture, package, promote, distribute, and sell such New Product in the Included Markets, regardless of any actual or potential conflict with the terms of Agreement., If Monsanto (A) receives an unsolicited proposal with respect to a potential Roundup Sale and responds in any manner, other than rejecting such proposal, (B) solicits or makes a formal determination to solicit or make any proposal with respect to a potential Roundup Sale or (C) enters into an agreement relating to the provision of information with respect to a potential Roundup Sale (each a ""Roundup Sale Notice Trigger""), the Agent shall have the rights as set forth in this Section 10.6 with respect to any such Roundup Sale and Monsanto shall promptly provide written notice to the Agent of such Roundup Sale as set forth, The Product Offer shall be in writing, shall be in sufficient detail describing such New Product, and shall be made within sixty (60) days of the date of commercialization of such New Product for uses other than Lawn and Garden Use. In no event shall Monsanto, directly or indirectly, commercialize any New Product for Lawn and Garden Use in the Included Markets without first offering such New Product to the Agent pursuant to the terms of this Section 6.10., in Section 10.6(a)(ii) (a ""Roundup Sale Notice"")., In the event that the Agent develops, or obtains access to, any new natural nonselective weedkiller products (including, without limitation, any herbicidally active substances which are plant extracts, including those derived from oleic acid or which are derived from plant extracts by processing including active substances) in Canada during the respective term of this Agreement, the Agent will grant Monsanto a right of first refusal to include such new products in the Roundup P&L on the same terms as agreed for the current Natural Products, and if accepted, such new products will become Natural Products."
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT __Change Of Control,"Highlight the parts (if any) of this contract related to ""Change Of Control"" that should be reviewed by a lawyer. Details: Does one party have the right to terminate or is consent or notice required of the counterparty if such party undergoes a change of control, such as a merger, stock sale, transfer of all or substantially all of its assets or business, or assignment by operation of law?","Except as set forth in this Section 11.8 or Section 2.3, and except for a Change of Control under Section 10.4(b)(7) that does not provide Monsanto termination rights under this Agreement, neither this Agreement nor any of the rights, interests, or obligations hereunder shall be transferred, delegated, or assigned by a party (by operation of law or otherwise) without the prior written consent of the other party., In addition, notwithstanding the foregoing, Monsanto, or a subsequent successor, may assign the licenses for the Additional Roundup Products Trademarks upon a Change of Control with respect to Monsanto or a Roundup Sale, provided that Monsanto has provided the Agent with prior written notice of, and has obtained the Agent's prior written consent to, such assignment, which consent shall not be unreasonably withheld., In addition to its right to terminate this Agreement pursuant to Section 10.9, Monsanto shall have the right to terminate this Agreement by giving the Agent a termination notice specified for each termination event upon the occurrence and continuance of either of the following:

(1) An Event of Default occurring at any time; or, (2) A Change of Control with respect to Monsanto or a Roundup Sale, in each case, by giving the Agent a notice of termination, such termination to be effective at the end of the fifth (5th) full Program Year after such notice is provided., For the avoidance of doubt, in no event shall this Agreement be transferred, delegated, or assigned by a party (by operation of law, Change of Control, or otherwise) to a third party unless the applicable portions of the License Agreement are also transferred to such third party., An Event of Default shall mean any of the following occurrences:, the occurrence of a Change of Control of an SMG Target without the prior written consent of Monsanto, unless the Agent has determined in its reasonable commercial opinion that such acquiror can and will fully perform the duties and obligations of the Agent under this Agreement;"
